Files>New,Edit>Undo,Format>Header,View>Theme>Light,Repository>Repository Settings,Actions>Open,Window>Minimize,Help>Get Started With Sourcetree,GUI Menu>Remote(button),GUI Settings>Accounts,GUI New>Clone from URL,Project GUI - Settings(button)
Files>Open,Edit>Redo,Format>Horizontal Rule,View>Theme>Dark,Repository>Refresh,Actions>Show in Finder,Window>Zoom,Help>Atlassian Community for Sourcetree,GUI Menu>Local(button),GUI Settings>Expand All,GUI New>Create Remote Repository,
Files>Open Recent,Edit>Cut,Fromat>Bold,View>Show Sidebar,Repository>Refresh Remote Status,Actions>Open in Terminal,Window>Show Repository Browser,Help>Sourcetree Support Website,,GUI Settings>Collapse All,GUI New>Add Existing Local Repository,
Files>Bookmark Open Repositories,Edit>Copy,Formtat>Italic,View>Show Command History,Repository>Commit,Actions>Quick Look,Window>Show Remote Hosted Repositories,Help>Follow Sourcetree on Twitter,,GUI Settings>Sort by Name,GUI New>Create Local Repository,
Files>Close,Edit>Paste,Format>Bullted List,View>Hide Branch Labels,Repository>Commit Selected,Actions>External Diff,Window>Bring All to Front,Help>Sourcetree Website,,GUI Settings>Sort by Type,GUI New>Scan Directly,
,Edit>Delete,Frormat>NumberedList,View>Hide Tag Labels,Repository>Revert,Actions>Create Patch,,Help>Release Notes,,GUI Settings>Compact View,GUI New>New Repository Group,
,Edit>Select All,Format>Code Block,View>File Status View,Repository>Stash,Actions>Apply Patch,,Help>Getting Git Right,,GUI Settings>Refresh Avatars,,
,Edit>Find,Fromat>Link,View>History View,Repository>Push,Actions>Add,,,,GUI Settings>Convert All to SSH,,
,Edit>Spelling and Grammar,,View>Search View,Repository>Pull,Actions>Track File Type in Git LFS,,,,GUI Settings>Convert All to HTTPS,,
,Edit>Substitutions,,View>Enter Full Screen,Repository>Fetch,Actions>Remove,,,,,,
,Edit>Transformations,,,Repository>Update,Actions>Unstage from Index,,,,,,
,Edit>Speech,,,Repository>Update t,Actions>Add/Remove,,,,,,
,Edit>Start Dictation,,,Repository>Branch,Actions>Stop Tracking,,,,,,
,Edit>Emoji and Symbols,,,Repository>Merge,Actions>Ignore,,,,,,
,,,,Repository>Tag,Actions>Commit,,,,,,
,,,,Repository>Archive,Actions>Revert/Reset Selected,,,,,,
,,,,Repository>Interactive Rebase,Actions>Rever to Revision,,,,,,
,,,,Repository>Add Remote,Actions>Continue[Action],,,,,,
,,,,Repository>Add Submodule,Actions>Abort[Action],,,,,,
,,,,Repository>Add/Link Subtree,Actions>Resolve Conflicts>Launch External Merge Tool,,,,,,
,,,,Repository>Git LFS>Initialize Repository,Actions>Resolve Conflicts>Resolve Using 'Mine',,,,,,
,,,,Repository>Git LFS>Track/Untrack Files,Actions>Resolve Conflicts>Resolve Using 'Theirs',,,,,,
,,,,Repository>Git LFS>Pull LFS Content,Actions>Resolve Merge,,,,,,
,,,,Repository>Git LFS>Fetch LFS Content,Actions>Mark Resolved,,,,,,
,,,,Repository>Git LFS>Checkout LFS Content,Actions>Mark Unresolved,,,,,,
,,,,Repository>Git LFS>Prune LFS Content,Actions>Custom Actions>Edit,,,,,,
,,,,Repository>Git flow/Hg flow>Initialize Repository,Actions>Log Selected,,,,,,
,,,,Repository>Git flow/Hg flow>Next Action,Actions>Blame Selected,,,,,,
,,,,Repository>Git flow/Hg flow>Start New Feature,Actions>Copy,,,,,,
,,,,Repository>Git flow/Hg flow>Finish Feature,Actions>Move,,,,,,
,,,,Repository>Git flow/Hg flow>Start New Release,,,,,,,
,,,,Repository>Git flow/Hg flow>Finish Release,,,,,,,
,,,,Repository>Git flow/Hg flow>Start New Hotfix,,,,,,,
,,,,Repository>Git flow/Hg flow>Finish Hotfix,,,,,,,
,,,,Repository>Create Pull Request,,,,,,,
