XMind Menu UI,,,,,,,,,,,,,,,,,,,,,,,,
Mac,,,,,,,,,,,,,,,,,,,,,,,,
Menu Titles,Submenu list,,,,,,,,,,,,,,,,,,,,,,,
XMind,Quit XMind,Show All,Hide Others,Hide Xmind,Services,Preferences,About XMind,,,,,,,,,,,,,,,,,
Window,Local Network Sharing,Black Box,Spelling Check,Advanced Filter[pro],Search[pro],Editing History,Inspector,Task Info[Pro],Gantt Chart [Pro],Overview,Outline,Comments,Audio Notes[pro],Notes,Resource Manager,Themes,IconFinder[pro],Clip Art[Pro],Markers,Format,Home,,,
Tool,Export Xmind Resource Bundle,Import Xmind resource Bundle,Extract Theme[Pro],Extract Style [Pro],Import Xmind Workbook,Merge [Pro],Map Shot [Pro],,,,,,,,,,,,,,,,,
Modify,Remove All Styles,Sort,Align Floating Topic,Reset Position,Tile,Allow Overlaps,Allow Free Position,Collapse All,Extend all ,Collapse,Extend,Save Audio Note as,Save Attachment as,Save Image As,Open Hyperlink,Cancel Hyperlink,Hyperlink,Comments,Label,Notes,Title,,,
Insert,New Sheet From Template,New Sheet From Topic,New Sheet,Audio notes [Pro],Attachment,Task Info[pro],Hyperlink,Comments,label,notes,markers,image from inconFinder[pro],image from Clip Art[pro],image from file,summary,Boundary,Relationship,Callout,Floating 'Central' Topic,Floating Topic,Parent Topic,Tipic Before,Subtopic,Topic
View,Zoom in,Zoom out,Actual size,Start brainstorming,Start Presentation,,,,,,,,,,,,,,,,,,,
Edit,Find/Replace,Check Spelling,Select Children,Select Brothers,Select All,Go Central,Delete,Duplicate,Paste ,Copy,Cut,Redo,Undo,,,,,,,,,,,
File,Share,Export,Import,Print,Set Password,Reduce File Size,Save to Evernote,Save as Template,Save All,Save as,Save,Close all,Close,Xmind Cloud,Open Recent,Open,New Blank Map,New,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
