Facebook Computer Browser,
Profile,
Home,
Find Friends,
Friends Requests,Find Friends
,Settings
,See All
Messages,Recent
,Message Requests
,New Group
,New Message
,See All in Messenger
,Mark All as Read
Notifications,Mark All as Read
,Settings
,See All
Quick Help,How can we help? Search bar
,Home Page
,Timeline
,Chat and Messages
,Account Security
,Privacy
,Privacy Shortcuts
,Support Inbox
,Report a Problem
Account Settings,Create Page
,Create Group
,New Groups
,Create Fundraiser
,Create Ads
,Advertising on Facebook
,Activity Log
,News Feed Preferences
,Settings
,Log Out
Your Name,Edit Profile
News Feed,Top Stories
,Most Recent
,Edit Preferences
Messenger,
Watch,
Shortcuts,
Explore,Groups
,Pages
,Events
,Frineds Lists
,On This Day
,Games
,Marketplace
,Fundraisers
,Live Video
,Recent Ad Activity
,Town Hall
,Photos
,Suggest Edits
,Payment History
,Games Feed
,Buy and Sell Groups
,Saved
,Jobs
,Crisis Response
,Order Food
,Pokes
,Create a Frame
,Explore Feed
,Recommendations
,Offers
,Weather
,Find Friends 2
,Movies
,Pages Feed
,Find Friends 2
,Movies
,Pages Feed
Create,Ad
,Page
,Group
,Event
,Fundraiser
Make Post,Photo/Video Album
,Live Video
Search Bar,Recent Searches - List
,Edit
,
Facebook - Android,
,
Home,Post to Facebook
,Stories
,Feed
,
Home - Post to Facebook,Post
,Text Field
,Donations
,360 photo
,slideshow
,ask for recommendations
,background color
,gif
,tag friends
,feeling/activity/sticker
,check in
,go live
,photo/video
,add to album
,permissions
,
Videos - DIscover,Suggested for you
,10 minutes or more
,in case you missed it
,most talked about
,what friends are watching
,popular now
,new this week
,today's spotlight
,
Marketplace,Rentals
,vehicles
,top sellers
,listings
,listing filters
,add listing
,daily deals
,jobs
,for sale
,saved items
,your items
,
Triple horizontal lines,Log out
,mobile data
,about
,report a problem
,terms and policies
,help community
,help center
,privacy shortcuts
,activity log
,code generator
,payment settings
,account settings
,data saver
,news feed preferences
,language
,app settings
,interests
,feeds
,create page
,pages
,create group
,groups
,crisis response
,app invites
,friends
,like pages
,on this day
,town hall
,send or request money
,groups
,nearby friends
,jobs
,nearby places
,buy and sell groups
,recommendations
,explore feed
,instagram
,events
,view your profile
,find friends
,discover people
,
Messenger,Opens messenger app
,
Search,trending
,recent searches
,
Videos,Watchlist
,discover
,
Videos - Watchlist,More shows
,following
,saved episodes
,latest episodes
,
Marketplace - your items,Add listing
,notifications
,buying
,selling
,
Marketplace - For sale,Pet supplies
,toys and games
,health and beauty
,baby and kids
,"books, movies, and music"
,video games
,arts and crafts
,musical instruments
,antiques and collectibles
,bicycles
,auto parts
,sports and outdoors
,bags and luggage
,jewelry and accessories
,clothing and shoes - women
,clothing and shoes - men
,services
,garage sale
,miscellaneous
,garden
,tools
,appliances
,household
,furniture
,mobile phones
,electronics and computers
,
Notifications,Earlier
,people you may know
