File,,,Edit,View,,,Repository,,,Branch,,,Help
Create a new repository,,,Undo,Changes,,,Push,,,New branch,,,Report issue
Add local repository,,,Cut,History,,,Pull,,,Rename,,,Contact GitHub support
Options,,,Copy,Repository list,,,Remove ,,,Delete,,,Show User Guides
Exit,,,Paste,Branches list,,,View on GitHub,,,Update from default branch ,,,Show logs in Exporer
,,,Select all,Toggle full screen,,,Open in Command Prompt,,,Merge into current branch,,,About GitHub Desktop
,,,Redo,Reset zoom,,,Show in Explorer,,,Compare on GitHub,,,
,,,,Zoom in,,,Open in external editor,,,Create pull request,,,
,,,,Zoom out,,,Repository setting,,,,,,
,,,,Toggle developer tools,,,,,,,,,
