Instagram Web,
,
Top Bar,(Person) Profile
,(Heart) Notifications
,(Compass) Explore
,Search Bar
,Instagram
,
Home Page,Feed
,Add Profile Photo
,
Explore,Explore Feed
,Profiles
,Discover People - See All
,
Notifications,Notifications List
,
Profile Page,Following
,Followers
,Posts
,Edit Profile
,
Edit Profile,Similar Accout Suggestions
,Gender
,Phone Number
,Email
,Bio
,Website
,Username
,Name
,Edit Profile Photo
,
Change Password,Change Password
,Confirm New Password
,New Password
,Old Password
,Edit Profile Photo
,
Authorized Applications,
,
Comments,Submit
,Custom Keywords
,Hide Inappropriate Comments
,
Email and SMS Settings,Text(SMS) Messages
,Research Emails
,Reminder Emails
,Product Emails
,News Emails
,
Manage Contacts,Delete Selected
,Contact List
,Select All
