Code,About Visual Studio Code,Check for Updates?,"Preferences; Settings; Keyboard Shortcuts; Keymap Extensions; User Extensions, Color Theme, File Icon Theme","Services, No Services Apply, Services Preferences?",Hide Visual Studio Code,Hide Others,Show All,Quit Visual Studio Code,,,,,,,,,,,,,,,,,,,
File,New File,New Window,Open?,"Open Recent, Reopen Closed Editor",Save,Save As?,Save All,Auto Save,Revert File,Close Editor,Close Folder,Close Window,,,,,,,,,,,,,,,
Edit,Undo,Redo,Cut,Copy,Paste,Find,Replace,Find in Files,Replace in Files,Toggle Line Comment,Toggle Block Comment,Emmet: Expand Abbreviation,Emmet?,Start Dictation,Emoji & Symbols,,,,,,,,,,,,
Selection,Select All,Expand Selection,Shrink Selection,Copy Line Up,Copy Line Down,Move Line Up,Move Line Down,Switch to Cmd+Click for Multi-Cursor,Add Cursor Below,Add Cursors to Line Ends,Add Next Occurrence,Add Previous Occurrence,Select All Occurrences,,,,,,,,,,,,,,
View,Command Palette?,Explorer,Search,SCM,Debug,Extensions,Output,Problems,Debug Console,Integrated Terminal,Toggle Full Screen,Toggle Zen Mode,Split Editor,Toggle Editor Group Layout,Move Side Bar Right,Toggle Side Bar,Toggle Panel,Hide Status Bar,Hide Activity Bar,Toggle Word Wrap,Toggle Minimap,Toggle Render Whitespace,Toggle Render Whitespace,Toggle Control Characters,Zoom In,Zoom Out,Reset Zoom
Go,Back,Forward,Switch Editor; Next Editor; Previous Editor; Next Used Editor in Group; Previous Used Editor in Group,Switch Group,Go to File?,Go to Symbol in File?,Go to Symbol in Workspace?,Go to Definition,Go to Type Definition,Go to Implementation,Go to Line?,,,,,,,,,,,,,,,,
Debug,Start Debugging,Start Without Debugging,Stop Debugging,Restart Debugging,Open Configurations,Add Configuration?,Step Over,Step Into,Step Out,Continue,New Breakpoint; Conditional Breakpoint?; Column Breakpoint?; Function Breakpoint?,Toggle Breakpoint,Enable All Breakpoints,Disable All Breakpoints,Remove All Breakpoints,Install Additional Debuggers?,,,,,,,,,,,
Tasks,Run Task?,Run Build Task?,Terminate Task?,Restart Running Task?,Show Running Tasks?,Configure Tasks?,Configure Default Build Task?,,,,,,,,,,,,,,,,,,,,
Window,Minimize,Zoom,Switch Window?,Bring All to Front,Welcome,,,,,,,,,,,,,,,,,,,,,,
Help,Search,Welcome,Interactive Playground,Documentation,Release Notes,Keyboard Shortcuts Reference,Introductory Videos,Tips and Tricks,Join us on Twitter,Search Feature Requests,Report Issues,View License,Privacy Statement,Toggle Developer Tools,,,,,,,,,,,,,
