File,Exit,Closes All Files,Revert File,Close File,Close Window,New Window,Save All,Save As,Save with Encoding>,UTF-8 (w/wo BOM),UTF-16 LE/BE (w/wo BOM),Western (Windows 1252),"Western (ISO 8859-1, 8859-3, 8859-15)",Western (Mac Roman),DOS (CP 437),"Arabic (Windows 1256, ISO 8859-6)","Baltic (Windows 1257, ISO 8859-4)",Celtic (ISO 8859-14),"Central European (Windows 1250, ISO 8859-2)","Cyrillic (Windows 1251/866, ISO 8859-5, KOI8-R/-U)",Estonian (ISO 8859-13),"Greek (Windows 1253, ISO 8859-7)","Hebrew (Windows 1255, ISO 8859-8)",Nordic (ISO 8859-10),Romanian (ISO 8859-16),"Turkish (Windows 1254, ISO 8859-9)",Vietnamese (Windows 1258),Hexadecimal<,Save,New View into File,Reopen with Encoding,Open Recent>,Reopen Closed File,Clear Items<,Open Folder,Open File,New File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit,Permute Selections,Permute Lines,Sort Lines (Case Sensitive),Sort Lines,Show Completions,Wrap,Convert Case,Case Folding>,Fold,Unfold,Unfold All,Fold All,Fold Level 2,Fold Level 3,Fold Level 4,Fold Level 5,Fold Level 6,Fold Level 7<,Mark>,Set Mark,Select to Mark,Delete to Mark,Swap with Mark,Clear with Mark,Yank<,Tag>,Close Tag,Expand Selection to Tag,Wrap Sekection with Tag<,,Text>,Insert Line Before,Insert Line After,Delete Word Forward,Delete Word Backward,Delete Line,Delete to End,Delete to Beginning,Transpose<,Comment>,Toggle Comment,Toggle Block Comment,Line>,Indent,Unindent,Reindent,Swap Line Up,Swap Line Down,Duplicate Line,Delete Line,Join Lines<,Paste from History,Paste and Indent,Paste,Cut,Copy,Undo Selection>,Soft Undo,Soft Redo<,Undo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,Expand Selection to Word,Expand Selection to Line,Select All,Invert Selection,Single Selection,Add Next Line,Add Previous Line,Split into Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Find,Find Results>,Show Results Panel,Next Result,Previous Result<,Find in Files,Use Selection for Replace,Use Selection for Find,Quick Skip Next,Quick Add Next,Quick Find All,Replace Next,Replace,Incremental Find,Find Previous,Find Next,Find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,Dictionary>,en_GB,en_US<,Prev Misspelling,Next Misspelling,Spell Check,Ruler>,None,70,72,78,80,100,120<,Word Wrap Column>,Automatic,70,72,78,80,100,120<,Word Wrap,Line Endings>,Windows,Unix,Mac OS 9<,Indentation>,Indent Using Spaces,Tab Width:1,Tab Width: 2,Tab Width: 3,Tab Width: 4,Tab Width: 5,Tab Width: 6,Tab Width: 7,Tab Width: 8,Guess Settings from Buffer,Convert Indentation to Spaces,Convert Identation to Tabs<,Syntax>,"ActionScript, AppleScript, ASP","Batch File, C, C#, C++, Clojure, CSS","D, Diff< Erlang, Go, Graphvitz (DOT)","Groovy, Haskell, HTML, Java","JavaScript, LaTeX, List, Lua","Makefile, Markdown, MATLAB","Objective-C, Ocaml, Pascal, Perl, PHP","Plain-Text, Python, R, Rails","Regular Expression, reStructuredText","Ruby, Rust, Scala, Shell Script (Bash)","SQL, TCL, Textile,XML, YAML<",Move File to Group>,Next,Previous,Group 1<,Focus Group>,Next,Previous,Group 1<,Groups>,Move File to New group,New Group,Close Group,Max Columns: 1,Max Columns: 2,Max Columns: 3,Max Columns: 4,Max Columns: 5<,Layout>,Single,Columns: 2,Columns: 3,Columns: 4,Rows: 2,Rows: 3,Grid: 4<,Enter Distraction Free Mode,Enter Full Screen,Show Console,Hide Menu,Hide Status Bar,Hide Tabs,Hide Minimap,Side Bar>,Hide Side Bar,Show Open Files
Goto,Jump to Matching Bracket,Bookmarks>,Toggle Bookmark,Next Bookmark,Prev Bookmark,clear Bookmarks,Select All Bookmarks,[Set of any bookmarks made by user.]<,Scroll>,Scroll to Selection,Line up,Line Down<,Switch File>,Next File,Previous File,Next File in Stack,Previous File in Stack,Switch Header/Implementation,Scope<,Jump Forward,Jump Back,Goto Line,Goto Definition,Goto Symbol in Project,Goto Symbol,Goto Anything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,Install Package Control,Developer>,New Plugin,New Snippet,New Syntax,New Syntax from Plain text.tmLanguage,Profile Plugins,Show Scope Name<,Macros>,Add Line Before,Add Line in Braces,Add Line,Delete Line Right,Delete Line,Delete to BOL,Delete to EOL,Delete to Hard BOL,Delete to Hard EOL<,Save Macro,Playback Macro,Record Macro,Save All on Build,Build Results,Cancel Build,Build With,Build,Build System,Snippets,Command Palette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Refresh Folders,Remove all Folders from Project,Add Folder to Project,Save Workspace As,New Workspace for Project,Edit Project,Close Project,Save Project As,Open Recent>,Clear Items<,Open Switch Project,Switch Project,Open Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferences,Font>,Larger,Smaller,Reset<,Theme,Color Scheme,Key Bindings,Settings -Distraction Free,Settings - Syntax Specific,Settings,Browse Packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help,About Sublime Text,Changelog,Check for Updates,Enter License,Puchase License,Indexing Status,Twitter,Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
